Time (s),Northing (m),Easting (m),Yaw (rad),Speed (m/s)
1728212583487136871,4477201.342674591,589721.2811518576,-1.5707963267948966,0.001989430282264948
1728212583529544064,4477201.342348694,589721.281749524,-1.5707963267948966,0.000331700750393793
1728212583610667170,4477201.341489125,589721.2841348645,-1.5707963267948966,-0.0006587326060980558
1728212583734935258,4477201.344908846,589721.282312616,-1.5707963267948966,0.000164845580002293
1728212583814283787,4477201.343483093,589721.2837716886,-1.5707963267948966,0.0011595651740208268
1728212583926325615,4477201.3424739195,589721.2829355451,-1.5707963267948966,0.00082972930977121
1728212584022649233,4477201.342309073,589721.2784419002,-1.5707963267948966,0.0004976755008101463
1728212584116516465,4477201.344448585,589721.2809609635,-1.5707963267948966,0.0013248692266643047
1728212584228326463,4477201.340684686,589721.2818542784,-1.5707963267948966,0.0010018552420660853
1728212584325454278,4477201.34214193,589721.2830243462,-1.5707963267948966,0.001833596732467413
1728212584421709248,4477201.343001498,589721.2806390036,-1.5707963267948966,0.003168958006426692
1728212584533523931,4477201.3425778095,589721.282340538,-1.5707963267948966,0.0003354569780640304
1728212584629781606,4477201.344379234,589721.2844395372,-1.5707963267948966,-0.0011697394074872136
1728212584725172991,4477201.3429280855,589721.2837783367,-1.5707963267948966,-0.0013418474700301886
1728212584837179524,4477201.345145072,589721.2834973119,-1.5707963267948966,-0.0016688323812559247
1728212584932547540,4477201.344824259,589721.2845190311,-1.5707963267948966,-0.0011771011631935835
1728212585028748696,4477201.342468839,589721.2825114921,-1.5707963267948966,0.0013371930690482259
1728212585141565057,4477201.341586921,589721.2830309942,-1.5707963267948966,0.0026756657753139734
1728212585238500652,4477201.340589937,589721.2832125811,-1.5707963267948966,0.0008371778531000018
1728212585348880533,4477201.343041118,589721.2839466274,-1.5707963267948966,-0.0
1728212585451432319,4477201.343368028,589721.2834337733,-1.5707963267948966,-0.0016562932869419456
1728212585557756441,4477201.344932212,589721.2842632688,-1.5707963267948966,-0.004153173416852951
1728212585660679204,4477201.345695001,589721.2830666087,-1.5707963267948966,-0.0053105163387954235
1728212585740015587,4477201.346160343,589721.2848423163,-1.5707963267948966,-0.006800484843552113
1728212585849820344,4477201.344852703,589721.2868937324,-1.5707963267948966,-0.007606767117977142
1728212585946359961,4477201.347942464,589721.2853299098,-1.5707963267948966,-0.00714707188308239
1728212586043609739,4477201.347125833,589721.2820315955,-1.5707963267948966,-0.003013975452631712
1728212586154530654,4477201.345689921,589721.2826425537,-1.5707963267948966,0.002177803311496973
1728212586250964124,4477201.345463854,589721.282305968,-1.5707963267948966,0.005198079161345959
1728212586347161597,4477201.3458997365,589721.281622164,-1.5707963267948966,0.006830140948295593
1728212586458324418,4477201.344808005,589721.2831620558,-1.5707963267948966,0.0075061991810798645
1728212586556687167,4477201.348469028,589721.2829485582,-1.5707963267948966,0.0069935740903019905
1728212586756166049,4477201.349020991,589721.2826874775,-1.5707963267948966,0.0014945990405976772
1728212586967347549,4477201.349014895,589721.2821786101,-1.5707963267948966,-0.0011503094574436545
1728212587070273092,4477201.346143073,589721.283400533,-1.5707963267948966,-0.0029776340816169977
1728212587175483355,4477201.347470013,589721.2829605247,-1.5707963267948966,-0.0036400631070137024
1728212587256620315,4477201.34890694,589721.2824343746,-1.5707963267948966,-0.004296908155083656
1728212587379910806,4477201.34980816,589721.2835262781,-1.5707963267948966,-0.00380445527844131
1728212587461897055,4477201.34890694,589721.2824343746,-1.5707963267948966,-0.0023294715210795403
1728212587556770225,4477201.34979089,589721.2820844927,-1.5707963267948966,-0.001996431266888976
1728212587668354339,4477201.350470107,589721.2831790578,-1.5707963267948966,-0.003817178774625063
1728212587763713357,4477201.349816287,589721.2842047658,-1.5707963267948966,-0.00532033946365118
1728212587862108552,4477201.34990697,589721.2825072182,-1.5707963267948966,-0.004511973354965448
1728212587971643481,4477201.3511625305,589721.2853761611,-1.5707963267948966,-0.0025033738929778337
1728212588068016286,4477201.348027054,589721.2831234969,-1.5707963267948966,-0.0013370489468798041
1728212588164227316,4477201.348127897,589721.2822740572,-1.5707963267948966,-0.0008361252839677036
1728212588275831468,4477201.349242995,589721.2826848183,-1.5707963267948966,-0.000835023820400238
1728212588381169435,4477201.348584094,589721.2832864713,-1.5707963267948966,-0.0008309058612212539
1728212588490387404,4477201.348129929,589721.2824436818,-1.5707963267948966,-0.0008287053206004202
1728212588589257892,4477201.349902909,589721.2821679732,-1.5707963267948966,-0.0009939261944964528
1728212588670241465,4477201.349466012,589721.2827669692,-1.5707963267948966,-0.0010000156471505761
1728212588794428152,4477201.349695127,589721.2833579853,-1.5707963267948966,-0.001331430277787149
1728212588874906323,4477201.350443695,589721.2809739766,-1.5707963267948966,-0.002156598959118128
1728212588969733735,4477201.350368248,589721.2839436829,-1.5707963267948966,-0.002497834851965308
1728212589081382647,4477201.345045244,589721.2844315595,-1.5707963267948966,-0.0025041475892066956
1728212589178651964,4477201.3465850465,589721.2832255942,-1.5707963267948966,-0.0026499133091419935
1728212589273408452,4477201.345387393,589721.2851908685,-1.5707963267948966,-0.0028376460541039705
1728212589386620831,4477201.344393457,589721.2856268879,-1.5707963267948966,-0.0033348994329571724
1728212589482719937,4477201.346625682,589721.286618026,-1.5707963267948966,-0.004150427412241697
1728212589593396672,4477201.3460341,589721.2835714851,-1.5707963267948966,-0.004652316682040691
1728212589690754007,4477201.347406759,589721.2869479636,-1.5707963267948966,-0.004314250312745571
1728212589785589013,4477201.347386438,589721.2852517477,-1.5707963267948966,-0.003498112317174673
1728212589998785260,4477201.3439524975,589721.285886639,-1.5707963267948966,-0.003837358905002475
1728212590105110219,4477201.345818195,589721.2840830095,-1.5707963267948966,-0.005022626835852861
1728212590184822750,4477201.344615459,589721.2856242287,-1.5707963267948966,-0.004693828523159027
1728212590309106624,4477201.344516648,589721.2866432887,-1.5707963267948966,-0.003019864670932293
1728212590387816200,4477201.343939291,589721.2847840963,-1.5707963267948966,-0.0
1728212590514615607,4477201.342942308,589721.2849656874,-1.5707963267948966,0.0016734078526496887
1728212590595034094,4477201.342047182,589721.284382649,-1.5707963267948966,0.0010005519725382328
1728212590691751029,4477201.343829306,589721.2848702382,-1.5707963267948966,-0.00016802162281237543
1728212590803615976,4477201.342051245,589721.2847218917,-1.5707963267948966,-0.0
1728212590898550278,4477201.343369044,589721.2835185856,-1.5707963267948966,0.002166070742532611
1728212590995315009,4477201.343456681,589721.2815666053,-1.5707963267948966,0.002665340667590499
1728212591108037838,4477201.3439169405,589721.2829182601,-1.5707963267948966,0.0016607263823971152
1728212591203342601,4477201.342894561,589721.2809795782,-1.5707963267948966,-0.0006668478017672896
1728212591298933528,4477201.343479029,589721.2834324437,-1.5707963267948966,-0.002156264614313841
1728212591505277413,4477201.34291691,589721.2828454165,-1.5707963267948966,-0.000995828420855105
1728212591716736623,4477201.341593016,589721.2835398595,-1.5707963267948966,-0.0004970471491105855
1728212591819655670,4477201.342133802,589721.2823458564,-1.5707963267948966,-0.0006584576913155615
1728212591915442835,4477201.340714146,589721.2843137942,-1.5707963267948966,-0.0
1728212592013308279,4477201.343149072,589721.2836908652,-1.5707963267948966,0.000827361480332911
1728212592108408915,4477201.342034992,589721.2833649185,-1.5707963267948966,0.001153989345766604
1728212592206376228,4477201.34248611,589721.2839532754,-1.5707963267948966,0.0009861474391072989
1728212592316321899,4477201.342585938,589721.2830190277,-1.5707963267948966,0.001148515846580267
1728212592412026436,4477201.342164279,589721.2848901824,-1.5707963267948966,0.0011475285282358527
1728212592508529985,4477201.3419118,589721.2823485156,-1.5707963267948966,0.0006599149783141911
1728212592619836403,4477201.342058358,589721.2853155693,-1.5707963267948966,-0.00032954910420812666
1728212592716079102,4477201.342143961,589721.2831939665,-1.5707963267948966,-0.0011518688406795263
1728212592811740270,4477201.343383267,589721.2847059363,-1.5707963267948966,-0.0018139276653528214
1728212592923669237,4477201.34215412,589721.2840420745,-1.5707963267948966,-0.0019885494839400053
1728212593020622097,4477201.343947419,589721.2854625861,-1.5707963267948966,-0.0018268520943820477
1728212593224812709,4477201.342494236,589721.2846317609,-1.5707963267948966,-0.0021576853469014168
1728212593434525142,4477201.344951514,589721.2858746725,-1.5707963267948966,-0.0011610565707087517
1728212593543726764,4477201.34639149,589721.2856029548,-1.5707963267948966,-0.00033355318009853363
1728212593640617625,4477201.344938306,589721.2847721297,-1.5707963267948966,-0.00016640691319480538
1728212593746300427,4477201.346174563,589721.2860296713,-1.5707963267948966,-0.00016555622278247029
1728212593825802980,4477201.346169486,589721.2856056141,-1.5707963267948966,-0.0004961807862855494
1728212593952279523,4477201.347393552,589721.2858454209,-1.5707963267948966,-0.0004972088499926031
1728212594030467624,4477201.345504492,589721.2856984041,-1.5707963267948966,-0.0
1728212594126709196,4477201.344608349,589721.2850305554,-1.5707963267948966,-0.0
1728212594239590490,4477201.346848702,589721.2867001791,-1.5707963267948966,0.0001663409493630752
1728212594335106235,4477201.347172564,589721.2859328925,-1.5707963267948966,-0.00016602389223407954
1728212594430526480,4477201.348374283,589721.284306861,-1.5707963267948966,-0.0006616869359277189
1728212594542693410,4477201.348392568,589721.2858334543,-1.5707963267948966,-0.0008286585798487067
1728212594638595596,4477201.348943512,589721.2854875614,-1.5707963267948966,-0.00016540945216547698
1728212594735323848,4477201.350826479,589721.2851257174,-1.5707963267948966,0.0004985579289495945
1728212594846955209,4477201.349039276,589721.2842140731,-1.5707963267948966,0.0008306870586238801
1728212594943368779,4477201.3484954415,589721.2851536393,-1.5707963267948966,0.0004974374896846712
1728212595052389479,4477201.348739794,589721.2870168205,-1.5707963267948966,-0.0
1728212595159320401,4477201.35125728,589721.2840178583,-1.5707963267948966,-0.00033126180642284453
1728212595239728724,4477201.349272454,589721.285144332,-1.5707963267948966,0.0003326410078443587
1728212595366329046,4477201.350719539,589721.2854662875,-1.5707963267948966,0.0009945012861862779
1728212595446511520,4477201.3506034585,589721.2850435643,-1.5707963267948966,0.0008262898772954941
1728212595540987553,4477201.350286706,589721.2864045263,-1.5707963267948966,-0.00016411933756899089
1728212595654313325,4477201.35172973,589721.2863872413,-1.5707963267948966,-0.0009856466203927994
1728212595750981486,4477201.350856956,589721.2876700433,-1.5707963267948966,-0.0014841498341411352
1728212595845457167,4477201.351393678,589721.2861367997,-1.5707963267948966,-0.0013194483472034335
1728212595957441785,4477201.353383583,589721.2854343768,-1.5707963267948966,-0.0004956190823577344
1728212596054288815,4477201.346721444,589721.2853445355,-1.5707963267948966,-0.0
1728212596150286502,4477201.346067626,589721.2863702414,-1.5707963267948966,0.0006613382720388472
1728212596261918679,4477201.346053403,589721.2851828908,-1.5707963267948966,0.0004972309689037502
1728212596357696942,4477201.346052388,589721.2850980784,-1.5707963267948966,0.0011603162856772542
1728212596560517700,4477201.34607169,589721.2867094864,-1.5707963267948966,0.004597890190780163
1728212596673795678,4477201.344730526,589721.2859621439,-1.5707963267948966,0.005130285397171974
1728212596776368510,4477201.344952529,589721.2859594848,-1.5707963267948966,0.0036416915245354176
