Time (s),Steering (rad)
1728212583.5752842,0.0
1728212583.6239364,0.0
1728212583.6713483,0.0
1728212583.780302,0.0
1728212583.8276193,0.0
1728212583.8758795,0.0
1728212583.940103,0.0
1728212583.9872806,0.0
1728212584.0368364,0.0
1728212584.0832055,0.0
1728212584.1312044,0.0
1728212584.1959426,0.0
1728212584.2432702,0.0
1728212584.2923143,0.0
1728212584.3398848,0.0
1728212584.4042304,0.0
1728212584.451459,0.0
1728212584.499447,0.0
1728212584.5480802,0.0
1728212584.6116223,0.0
1728212584.660181,0.0
1728212584.707505,0.0
1728212584.756206,0.0
1728212584.8202925,0.0
1728212584.8685794,0.0
1728212584.9162314,0.0
1728212584.9645562,0.0
1728212585.0124156,0.0
1728212585.0755038,0.0
1728212585.1243696,0.0
1728212585.1712198,0.0
1728212585.2198346,0.0
1728212585.2831993,0.0
1728212585.3940947,0.0
1728212585.498238,0.0
1728212585.605659,0.0
1728212585.7042904,0.0
1728212585.754154,0.0
1728212585.8011825,0.0
1728212585.865087,0.0
1728212585.9135175,0.0
1728212585.9606817,0.0
1728212586.0097487,0.0
1728212586.0732071,0.0
1728212586.1210773,0.0
1728212586.1697068,0.0
1728212586.217351,0.0
1728212586.2814448,0.0
1728212586.3297622,0.0
1728212586.3777883,0.0
1728212586.426093,0.0
1728212586.4894838,0.0
1728212586.5367792,0.0
1728212586.584795,0.0
1728212586.657624,0.0
1728212586.68999,0.0
1728212586.7382848,0.0
1728212586.7866888,0.0
1728212586.8620114,0.0
1728212586.892912,0.0
1728212587.0146408,0.0
1728212587.117064,0.0
1728212587.2213562,0.0
1728212587.2689526,0.0
1728212587.3168385,0.0
1728212587.426944,0.0
1728212587.4747686,0.0
1728212587.5250936,0.0
1728212587.5709684,0.0
1728212587.6348853,0.0
1728212587.6828778,0.0
1728212587.7307734,0.0
1728212587.778791,0.0
1728212587.8423898,0.0
1728212587.8909438,0.0
1728212587.9395342,0.0
1728212587.9877787,0.0
1728212588.0513477,0.0
1728212588.1005578,0.0
1728212588.146709,0.0
1728212588.210493,0.0
1728212588.2592568,0.0
1728212588.3069367,0.0
1728212588.4282374,0.0
1728212588.5329618,0.0
1728212588.6352284,0.0
1728212588.6829457,0.0
1728212588.7312512,0.0
1728212588.8403614,0.0
1728212588.8882718,0.0
1728212588.9357657,0.0
1728212589.0011454,0.0
1728212589.049116,0.0
1728212589.0959103,0.0
1728212589.143783,0.0
1728212589.1925788,0.0
1728212589.2559097,0.0
1728212589.3061924,0.0
1728212589.3527408,0.0
1728212589.4007523,0.0
1728212589.4639256,0.0
1728212589.5120142,0.0
1728212589.5603192,0.0
1728212589.6089375,0.0
1728212589.6724598,0.0
1728212589.719726,0.0
1728212589.7678509,0.0
1728212589.833047,0.0
1728212589.8933837,0.0
1728212589.9245763,0.0
1728212590.044704,0.0
1728212590.150602,0.0
1728212590.1991503,0.0
1728212590.2458336,0.0
1728212590.354917,0.0
1728212590.4033077,0.0
1728212590.451842,0.0
1728212590.5627165,0.0
1728212590.6097894,0.0
1728212590.657124,0.0
1728212590.7213953,0.0
1728212590.7701926,0.0
1728212590.8178282,0.0
1728212590.8660464,0.0
1728212590.930192,0.0
1728212590.9788089,0.0
1728212591.0253496,0.0
1728212591.0740762,0.0
1728212591.1215181,0.0
1728212591.1853948,0.0
1728212591.233387,0.0
1728212591.2813861,0.0
1728212591.329478,0.0
1728212591.4073727,0.0
1728212591.4390402,0.0
1728212591.488223,0.0
1728212591.5354564,0.0
1728212591.6113825,0.0
1728212591.6438737,0.0
1728212591.7633548,0.0
1728212591.8671021,0.0
1728212591.9635963,0.0
1728212592.027356,0.0
1728212592.074611,0.0
1728212592.123026,0.0
1728212592.171447,0.0
1728212592.2354987,0.0
1728212592.2818918,0.0
1728212592.330754,0.0
1728212592.379879,0.0
1728212592.4267392,0.0
1728212592.4914453,0.0
1728212592.538481,0.0
1728212592.5862703,0.0
1728212592.634699,0.0
1728212592.6980658,0.0
1728212592.7461588,0.0
1728212592.7942202,0.0
1728212592.8436096,0.0
1728212592.9069033,0.0
1728212592.955703,0.0
1728212593.0026553,0.0
1728212593.0503833,0.0
1728212593.1268067,0.0
1728212593.1606333,0.0
1728212593.2087412,0.0
1728212593.2564454,0.0
1728212593.3294556,0.0
1728212593.361444,0.0
1728212593.4815378,0.0
1728212593.5853949,0.0
1728212593.6859066,0.0
1728212593.7915094,0.0
1728212593.8397496,0.0
1728212593.889185,0.0
1728212593.9982696,0.0
1728212594.0455132,0.0
1728212594.0934393,0.0
1728212594.1422403,0.0
1728212594.2058988,0.0
1728212594.2538583,0.0
1728212594.3010366,0.0
1728212594.3652806,0.0
1728212594.4142401,0.0
1728212594.4618876,0.0
1728212594.509486,0.0
1728212594.57306,0.0
1728212594.6222687,0.0
1728212594.6688354,0.0
1728212594.7171829,0.0
1728212594.78128,0.0
1728212594.82899,0.0
1728212594.8772354,0.0
1728212594.924462,0.0
1728212594.9884305,0.0
1728212595.0995364,0.0
1728212595.20557,0.0
1728212595.2539887,0.0
1728212595.301819,0.0
1728212595.4122052,0.0
1728212595.45985,0.0
1728212595.5075266,0.0
1728212595.5718477,0.0
1728212595.6211853,0.0
1728212595.668203,0.0
1728212595.7174861,0.0
1728212595.7811332,0.0
1728212595.827814,0.0
1728212595.876555,0.0
1728212595.924571,0.0
1728212595.971766,0.0
1728212596.035744,0.0
1728212596.0837991,0.0
1728212596.132289,0.0
1728212596.1803994,0.0
1728212596.2436094,0.0
1728212596.2929428,0.0
1728212596.3399403,0.0
1728212596.387674,0.0
1728212596.464967,0.0
1728212596.496287,0.0
1728212596.5464556,0.0
1728212596.6077585,0.0
1728212596.719087,0.0
1728212596.82172,0.0
1728212596.8702903,0.0
1728212596.918752,0.0
1728212596.981497,0.0
1728212597.0292807,0.0
1728212597.0774543,0.0
1728212597.1262367,0.0
1728212597.1894965,0.0
1728212597.2374473,0.0
1728212597.2864387,0.0
1728212597.3339803,0.0
1728212597.3820505,0.0
1728212597.4459863,0.0
1728212597.4945254,0.0
1728212597.5414207,0.0
1728212597.5908904,0.0
1728212597.654036,0.0
1728212597.701487,0.0
1728212597.7499654,0.0
1728212597.7980053,0.0
1728212597.861201,0.0
1728212597.909475,0.0
1728212597.9581366,0.0
1728212598.0066965,0.0
1728212598.0555396,0.0
1728212598.10172,0.0
1728212598.1654873,0.0
1728212598.214488,0.0
1728212598.2631476,0.0
1728212598.3260298,0.0
1728212598.3870537,0.0
1728212598.4190202,0.0
1728212598.4674115,0.0
1728212598.5304687,0.0
1728212598.5950844,0.0
1728212598.6427581,0.0
1728212598.911186,0.0
1728212599.0407856,0.0
1728212599.1671202,0.0
1728212599.2780237,0.0
1728212599.3279283,0.0
1728212599.4511652,0.0
1728212599.5552037,0.0
1728212599.6036518,0.0
1728212599.6504872,0.0
1728212599.7589695,0.0
1728212599.80749,0.0
1728212599.8550262,0.0
1728212599.967848,0.0
1728212600.0140846,0.0
1728212600.062012,0.0
1728212600.1276312,0.0
1728212600.175362,0.0
1728212600.2231348,0.0
1728212600.270198,0.0
1728212600.3199475,0.0
1728212600.3820238,0.0
1728212600.4296315,0.0
1728212600.4791226,0.0
1728212600.5282502,0.0
1728212600.5902526,0.0
1728212600.6379533,0.0
1728212600.6865058,0.0
1728212600.7335956,0.0
1728212600.8129313,0.0
1728212600.8458204,0.0
1728212600.892824,0.0
1728212600.941045,0.0
1728212601.0150495,0.0
1728212601.0469584,0.0
1728212601.0965786,0.0
1728212601.1589565,0.0
1728212601.268217,0.0
1728212601.3705287,0.0
1728212601.4775424,0.0
1728212601.5243356,0.0
1728212601.5730708,0.0
1728212601.6801364,0.0
1728212601.7283418,0.0
1728212601.7763286,0.0
1728212601.8391407,0.0
1728212601.887494,0.0
1728212601.9359455,0.0
1728212601.983347,0.0
1728212602.0478153,0.0
1728212602.095324,0.0
1728212602.144281,0.0
1728212602.1913097,0.0
1728212602.2552943,0.0
1728212602.3034012,0.0
1728212602.3513596,0.0
1728212602.4000876,0.0
1728212602.4473376,0.0
1728212602.5113938,0.0
1728212602.5594091,0.0
1728212602.6081424,0.0
1728212602.6722026,0.0
1728212602.73255,0.0
1728212602.7648618,0.0
1728212602.8853202,0.0
1728212602.9877095,0.0
1728212603.0903478,0.0
1728212603.1920333,0.0
1728212603.29487,0.0
1728212603.3417976,0.0
1728212603.3898761,0.0
1728212603.5020077,0.0
1728212603.5480216,0.0
1728212603.6130824,0.0
1728212603.6600509,0.0
1728212603.7093575,0.0
1728212603.7727013,0.0
1728212603.8207457,0.0
1728212603.8688908,0.0
1728212603.916255,0.0
1728212603.980231,0.0
1728212604.0283058,0.0
1728212604.0763993,0.0
1728212604.1243002,0.0
1728212604.1725054,0.0
1728212604.250941,0.0
1728212604.2821271,0.0
1728212604.3302093,0.0
1728212604.3791814,0.0
1728212604.453328,0.0
1728212604.4853027,0.0
1728212604.6058419,0.0
1728212604.7065952,0.0
1728212604.811405,0.0
1728212604.8592346,0.0
1728212604.9071507,0.0
1728212605.0153427,0.0
1728212605.065267,0.0
1728212605.127807,0.0
1728212605.175912,0.0
1728212605.2223563,0.0
1728212605.2736843,0.0
1728212605.3201659,0.0
1728212605.3823423,0.0
1728212605.4305792,0.0
1728212605.4793403,0.0
1728212605.5269694,0.0
1728212605.589856,0.0
1728212605.6393974,0.0
1728212605.685998,0.0
1728212605.733945,0.0
1728212605.7831342,0.0
1728212605.8473787,0.0
1728212605.896808,0.0
1728212605.9426224,0.0
1728212605.9905517,0.0
1728212606.055009,0.0
1728212606.1036794,0.0
1728212606.1506977,0.0
1728212606.198782,0.0
1728212606.274585,0.0
1728212606.307513,0.0
1728212606.353627,0.0
1728212606.402618,0.0
1728212606.4778576,0.0
1728212606.511095,0.0
1728212606.555401,0.0
1728212606.6211867,0.0
1728212606.729349,0.0
1728212606.8326833,0.0
1728212606.9345257,0.0
1728212606.982817,0.0
1728212607.0303981,0.0
1728212607.1407306,0.0
1728212607.185285,0.0
1728212607.2331924,0.0
1728212607.2973344,0.0
1728212607.345288,0.0
1728212607.3932867,0.0
1728212607.4413888,0.0
1728212607.4893794,0.0
1728212607.5538707,0.0
1728212607.6012137,0.0
1728212607.6487248,0.0
1728212607.7128465,0.0
1728212607.761802,0.0
1728212607.8105652,0.0
1728212607.8573127,0.0
1728212607.9049735,0.0
1728212607.9692826,0.0
1728212608.0176928,0.0
1728212608.0653286,0.0
1728212608.1287289,0.0
1728212608.1777532,0.0
1728212608.2247024,0.0
1728212608.2967074,0.0
1728212608.328496,0.0
1728212608.3768926,0.0
1728212608.440732,0.0
1728212608.5503736,0.0
1728212608.6523926,0.0
1728212608.7570574,0.0
1728212608.807677,0.0
1728212608.8537872,0.0
1728212608.9186475,-0.04476769631233996
1728212608.9654489,-0.1130973358621277
1728212609.013381,-0.11604258396829516
1728212609.0629673,-0.10779589759340463
1728212609.1253366,-0.09719302105595853
1728212609.1740448,-0.10779589759340463
1728212609.2220254,-0.11810425348142319
1728212609.2702386,-0.10161088905402055
1728212609.3334374,-0.08158323522159536
1728212609.3820798,-0.06273368063163713
1728212609.4299316,-0.005006913458106301
1728212609.477952,0.0
1728212609.5269713,0.0
1728212609.590154,0.0
1728212609.6374748,0.0
1728212609.6861231,0.0
1728212609.734204,-0.022972895696808875
1728212609.813281,-0.0762817969528723
1728212609.84461,-0.0918915827872355
1728212609.892696,-0.0918915827872355
1728212609.9410787,-0.0918915827872355
1728212610.017494,-0.08894634300344643
1728212610.050146,-0.08688467349031839
1728212610.0987775,-0.08894634300344643
1728212610.1615865,-0.09719302105595853
1728212610.2195337,-0.10573422808027662
1728212610.2514665,-0.10573422808027662
1728212610.3710477,-0.09925469056908658
1728212610.4776082,-0.10249445932468158
1728212610.5275552,-0.10573422808027662
1728212610.5745642,-0.10573422808027662
1728212610.6814744,-0.11604258396829516
1728212610.7296603,-0.11604258396829516
1728212610.7783608,-0.11604258396829516
1728212610.8864625,-0.1213440222370182
1728212610.9349654,-0.1213440222370182
1728212610.9827936,-0.12016592299455123
1728212611.0917995,-0.0918915827872355
1728212611.1393988,-0.04476769631233996
1728212611.1886892,-0.034459344585510615
1728212611.2523656,-0.03121957791051019
1728212611.299266,-0.020911226183680846
1728212611.3473356,-0.020911226183680846
1728212611.396346,-0.020911226183680846
1728212611.4432411,-0.010308350686532047
1728212611.5090594,0.0
1728212611.5551558,0.0
1728212611.603523,0.0
1728212611.6684124,-0.010308350686532047
1728212611.7155032,-0.013548118401829767
1728212611.7644053,-0.013548118401829767
1728212611.8118083,-0.015609788955255095
1728212611.8754091,-0.012370021239957377
1728212611.924638,-0.0029452431647552964
1728212611.972567,0.0
1728212612.0201008,0.0
1728212612.0839527,0.0
1728212612.1323946,0.0
1728212612.181758,0.0
1728212612.229035,0.0
1728212612.2773607,0.0
1728212612.3539643,-0.0020616701633138423
1728212612.3879642,-0.010308350686532047
1728212612.4332998,-0.025918139641787144
1728212612.4970627,-0.025918139641787144
1728212612.5580313,-0.029157906316787566
1728212612.5876522,-0.03121957791051019
1728212612.7064316,-0.034459344585510615
1728212612.808052,-0.029157906316787566
1728212612.9119825,-0.025918139641787144
1728212613.0140047,-0.029157906316787566
1728212613.1189091,-0.03121957791051019
1728212613.2130234,-0.03858268361176667
1728212613.325396,-0.04182245236736169
1728212613.372488,-0.04182245236736169
1728212613.4369893,-0.04182245236736169
1728212613.4854436,-0.05743224236291409
1728212613.5344582,-0.0606720111185091
1728212613.5807183,-0.0606720111185091
1728212613.6277463,-0.05743224236291409
1728212613.6918662,-0.055370572849786054
1728212613.7398443,-0.05743224236291409
1728212613.7886868,-0.0606720111185091
1728212613.8355637,-0.0606720111185091
1728212613.8838067,-0.0606720111185091
1728212613.9492862,-0.0606720111185091
1728212613.9973543,-0.07834346646600034
1728212614.0451014,-0.07834346646600034
1728212614.1077375,-0.07834346646600034
1728212614.15662,-0.0762817969528723
1728212614.203789,-0.06803511890036018
1728212614.2518437,-0.06597344522604295
1728212614.3163426,-0.06597344522604295
1728212614.36416,-0.06597344522604295
1728212614.411623,-0.06803511890036018
1728212614.4606655,-0.06803511890036018
1728212614.5077262,-0.06597344522604295
1728212614.572758,-0.06597344522604295
1728212614.811162,-0.07098035868414924
1728212614.93945,-0.07304202819727729
1728212615.0665784,-0.07480917706097777
1728212615.2304566,0.0
1728212615.3524797,0.0
1728212615.4577632,-0.005006913458106301
1728212615.5634177,-0.04182245236736169
1728212615.6116967,-0.050069134581063005
1728212615.6603868,-0.04712389063608474
1728212615.7676795,-0.04712389063608474
1728212615.8155892,-0.04712389063608474
1728212615.8789575,-0.04712389063608474
1728212615.9264836,-0.04476769631233996
1728212615.9753864,-0.04182245236736169
1728212616.0247588,-0.04182245236736169
1728212616.0876448,-0.03858268361176667
1728212616.135522,-0.03652101409863864
1728212616.1827977,-0.03652101409863864
1728212616.2335796,-0.03976078285423366
1728212616.2791605,-0.04182245236736169
1728212616.343605,-0.04182245236736169
1728212616.3908718,-0.04476769631233996
1728212616.4390185,-0.04712389063608474
1728212616.4874768,-0.050069134581063005
1728212616.552643,-0.05213080409419103
1728212616.5991151,-0.05213080409419103
1728212616.6471143,-0.05213080409419103
1728212616.6949275,-0.05213080409419103
1728212616.7448943,-0.055370572849786054
1728212616.7909079,-0.055370572849786054
1728212616.8538268,-0.055370572849786054
1728212616.902429,-0.05743224236291409
1728212616.9500415,-0.05743224236291409
1728212616.998305,-0.055370572849786054
1728212617.062182,-0.05213080409419103
1728212617.12584,-0.05213080409419103
1728212617.1569958,-0.05213080409419103
1728212617.278686,-0.055370572849786054
1728212617.3850286,-0.055370572849786054
1728212617.4327595,-0.05743224236291409
1728212617.4808316,-0.0606720111185091
1728212617.5901167,-0.06273368063163713
1728212617.639443,-0.06273368063163713
1728212617.6860342,-0.06597344522604295
1728212617.7970448,-0.0762817969528723
1728212617.844853,-0.0762817969528723
1728212617.893617,-0.0762817969528723
1728212617.9580696,-0.06597344522604295
1728212618.005786,-0.06273368063163713
1728212618.0539093,-0.0606720111185091
1728212618.1014202,-0.05213080409419103
1728212618.1662238,-0.05213080409419103
1728212618.2141912,-0.05213080409419103
1728212618.2616634,-0.05213080409419103
1728212618.3096063,-0.050069134581063005
1728212618.3583713,-0.050069134581063005
1728212618.4220939,-0.050069134581063005
1728212618.469584,-0.050069134581063005
1728212618.5174077,-0.050069134581063005
